Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Skill_Retention_Score,Burnout_Risk_Level
138023,Humanities,Graduate,3.389,3.01,Copywriting/Drafting,Advanced,4,0,5.39,3,Allowed_With_Citation,4,87.41,Medium
123421,Humanities,Junior,3.789,13.56,Copywriting/Drafting,Intermediate,4,0,13.03,4,Allowed_With_Citation,1,85.02,Medium
104294,Medical,Sophomore,2.83,3.3,Ideation,Beginner,1,0,15.35,1,Allowed_With_Citation,5,68.22,Low
129671,Arts,Junior,3.568,3.45,Copywriting/Drafting,Intermediate,2,0,8.13,2,Allowed_With_Citation,5,100.0,Medium
134130,Humanities,Junior,3.78,8.25,Copywriting/Drafting,Beginner,2,0,4.87,2,Allowed_With_Citation,3,72.87,Medium
130228,Business,Freshman,3.286,32.37,Summarizing_Reading,Intermediate,2,1,13.04,8,Strict_Ban,10,72.92,High
113693,Arts,Junior,3.606,3.47,Copywriting/Drafting,Beginner,3,0,13.08,1,Actively_Encouraged,5,71.35,Low
121622,STEM,Sophomore,2.679,7.76,Copywriting/Drafting,Advanced,5,0,5.35,6,Actively_Encouraged,10,97.76,Medium
137112,STEM,Freshman,3.119,1.16,Summarizing_Reading,Intermediate,4,0,2.66,2,Allowed_With_Citation,5,75.08,Low
144049,Humanities,Junior,3.003,5.81,Ideation,Beginner,2,0,1.9,3,Actively_Encouraged,5,70.76,Low
136760,STEM,Freshman,3.841,8.56,Debugging/Troubleshooting,Advanced,4,0,9.93,6,Allowed_With_Citation,7,83.56,Medium
100582,Medical,Senior,2.592,0.88,Summarizing_Reading,Beginner,3,1,17.17,3,Allowed_With_Citation,3,71.94,Medium
140648,Medical,Freshman,3.069,20.78,Debugging/Troubleshooting,Advanced,5,1,9.74,3,Actively_Encouraged,1,100.0,Medium
139113,Arts,Graduate,2.924,3.34,Copywriting/Drafting,Intermediate,4,0,8.83,1,Allowed_With_Citation,4,51.43,Low
133530,Business,Graduate,3.681,7.06,Ideation,Intermediate,2,1,6.48,3,Actively_Encouraged,4,87.51,Medium
108307,STEM,Junior,3.599,2.21,Debugging/Troubleshooting,Advanced,4,1,15.13,2,Actively_Encouraged,3,87.85,High
149643,STEM,Freshman,2.867,22.43,Debugging/Troubleshooting,Beginner,2,1,1.0,6,Allowed_With_Citation,7,67.35,Medium
129198,STEM,Sophomore,3.462,27.21,Debugging/Troubleshooting,Advanced,5,1,14.23,6,Strict_Ban,10,68.98,Low
112850,Business,Junior,3.305,10.85,Copywriting/Drafting,Intermediate,3,1,10.44,3,Actively_Encouraged,3,68.6,Low
112261,Medical,Graduate,3.193,31.36,Ideation,Intermediate,1,1,3.4,6,Allowed_With_Citation,4,81.84,High
129325,Business,Sophomore,3.158,6.73,Ideation,Beginner,2,1,13.59,4,Allowed_With_Citation,5,68.8,Low
116840,Arts,Graduate,2.94,15.2,Debugging/Troubleshooting,Intermediate,3,1,11.18,5,Allowed_With_Citation,7,71.19,Medium
130720,Arts,Graduate,2.682,5.3,Copywriting/Drafting,Intermediate,4,0,12.52,2,Actively_Encouraged,5,69.82,Medium
147745,Business,Junior,3.339,4.23,Direct_Answer_Generation,Beginner,3,0,10.76,1,Allowed_With_Citation,5,83.87,Low
128288,STEM,Senior,2.363,36.17,Debugging/Troubleshooting,Beginner,1,0,16.74,8,Allowed_With_Citation,4,61.86,High
125179,Humanities,Junior,3.708,4.45,Copywriting/Drafting,Intermediate,4,0,14.77,1,Allowed_With_Citation,6,68.6,Medium
118633,Business,Junior,3.034,12.6,Debugging/Troubleshooting,Advanced,3,1,1.0,2,Actively_Encouraged,5,97.78,Medium
139265,Arts,Freshman,3.321,2.04,Debugging/Troubleshooting,Advanced,3,1,15.07,2,Allowed_With_Citation,3,100.0,Medium
146334,Arts,Graduate,3.302,15.16,Debugging/Troubleshooting,Advanced,4,1,12.25,4,Allowed_With_Citation,1,99.51,Medium
103894,Humanities,Senior,3.438,18.73,Copywriting/Drafting,Beginner,2,1,10.05,6,Allowed_With_Citation,6,89.03,High
130012,Medical,Graduate,2.937,0.22,Ideation,Beginner,3,0,6.15,3,Allowed_With_Citation,4,64.53,Medium
131142,Business,Senior,2.819,1.75,Debugging/Troubleshooting,Intermediate,4,1,19.56,4,Allowed_With_Citation,3,84.01,High
107318,Business,Junior,3.519,14.86,Summarizing_Reading,Intermediate,4,0,6.42,3,Strict_Ban,4,87.41,Medium
103554,Business,Graduate,1.808,14.22,Ideation,Beginner,3,0,12.62,3,Actively_Encouraged,4,72.66,Medium
143385,Humanities,Freshman,3.659,5.5,Copywriting/Drafting,Beginner,3,0,6.05,3,Strict_Ban,1,83.12,Medium
129517,Business,Freshman,3.449,3.51,Ideation,Advanced,3,1,4.84,3,Allowed_With_Citation,6,63.51,Low
143166,Business,Sophomore,2.462,7.9,Summarizing_Reading,Advanced,4,0,17.59,2,Allowed_With_Citation,2,67.23,Low
129143,Arts,Freshman,3.392,0.11,Debugging/Troubleshooting,Beginner,3,0,18.62,3,Allowed_With_Citation,5,80.22,Low
123008,Medical,Sophomore,3.694,8.3,Copywriting/Drafting,Beginner,3,1,24.33,1,Allowed_With_Citation,4,41.43,Medium
116973,Business,Junior,3.63,9.94,Copywriting/Drafting,Beginner,3,0,6.95,2,Allowed_With_Citation,2,59.76,Medium
149666,STEM,Sophomore,3.795,2.92,Ideation,Beginner,1,0,19.85,3,Allowed_With_Citation,1,97.6,High
131034,Business,Sophomore,3.55,10.36,Ideation,Intermediate,3,1,9.01,5,Allowed_With_Citation,4,73.96,Low
137197,Humanities,Sophomore,3.77,14.92,Copywriting/Drafting,Intermediate,3,1,6.61,4,Actively_Encouraged,4,68.62,Medium
126593,Business,Senior,3.262,5.75,Copywriting/Drafting,Intermediate,5,1,6.4,1,Allowed_With_Citation,4,85.05,High
136432,Business,Freshman,3.515,40.0,Ideation,Intermediate,2,0,4.48,9,Allowed_With_Citation,6,62.28,High
113120,STEM,Senior,2.469,14.51,Copywriting/Drafting,Intermediate,4,0,6.1,4,Allowed_With_Citation,6,79.01,Medium
100888,STEM,Junior,3.333,40.0,Ideation,Intermediate,3,0,14.45,9,Actively_Encouraged,5,53.18,High
119528,STEM,Senior,3.002,15.57,Copywriting/Drafting,Advanced,3,1,8.08,4,Strict_Ban,4,70.85,High
134189,STEM,Senior,2.361,2.14,Copywriting/Drafting,Intermediate,2,0,11.11,1,Allowed_With_Citation,2,66.84,High
139234,STEM,Senior,2.536,2.84,Ideation,Advanced,4,1,3.05,3,Strict_Ban,2,86.27,Low
112665,Humanities,Senior,3.228,3.12,Copywriting/Drafting,Advanced,3,1,3.4,4,Strict_Ban,2,64.24,Low
128153,STEM,Sophomore,3.168,3.53,Copywriting/Drafting,Advanced,3,0,3.39,3,Allowed_With_Citation,1,71.27,High
109352,Humanities,Senior,3.33,6.7,Copywriting/Drafting,Advanced,4,1,18.69,2,Allowed_With_Citation,4,86.3,Medium
128194,STEM,Sophomore,3.299,22.62,Debugging/Troubleshooting,Advanced,3,0,7.35,4,Actively_Encouraged,7,94.39,High
149547,STEM,Sophomore,3.227,0.53,Summarizing_Reading,Advanced,3,0,14.52,1,Allowed_With_Citation,5,76.23,Low
103450,STEM,Freshman,3.248,16.38,Debugging/Troubleshooting,Advanced,4,1,16.93,5,Actively_Encouraged,4,78.97,Low
110321,Business,Junior,3.319,3.2,Copywriting/Drafting,Advanced,4,0,9.7,1,Allowed_With_Citation,2,74.35,Low
112351,Business,Senior,2.654,1.2,Ideation,Intermediate,5,0,6.22,2,Actively_Encouraged,2,71.78,Medium
117997,Arts,Junior,2.297,1.32,Copywriting/Drafting,Advanced,3,0,15.24,2,Strict_Ban,5,72.74,Low
115957,Arts,Freshman,3.523,2.79,Direct_Answer_Generation,Intermediate,4,0,21.13,4,Allowed_With_Citation,4,55.31,Low
133547,Business,Sophomore,3.478,11.03,Ideation,Advanced,5,1,8.43,4,Actively_Encouraged,2,90.28,Low
138770,Medical,Senior,3.198,5.43,Summarizing_Reading,Intermediate,2,0,10.29,1,Allowed_With_Citation,7,73.13,Medium
105735,Business,Sophomore,3.283,10.26,Debugging/Troubleshooting,Beginner,2,1,14.27,5,Allowed_With_Citation,3,66.79,High
125238,Business,Freshman,3.004,12.81,Ideation,Intermediate,3,1,15.42,5,Actively_Encouraged,3,58.2,Medium
107182,Humanities,Senior,3.468,2.93,Direct_Answer_Generation,Advanced,4,0,16.57,1,Actively_Encouraged,6,100.0,Low
125926,STEM,Freshman,3.52,1.69,Debugging/Troubleshooting,Intermediate,3,0,7.38,1,Strict_Ban,1,65.72,Low
113725,Medical,Senior,2.489,19.67,Summarizing_Reading,Advanced,4,1,7.68,6,Strict_Ban,5,84.74,High
136477,Humanities,Sophomore,2.93,8.79,Copywriting/Drafting,Advanced,3,1,20.27,3,Allowed_With_Citation,7,88.12,Low
103918,Humanities,Junior,3.12,1.42,Summarizing_Reading,Advanced,5,1,10.2,1,Allowed_With_Citation,4,87.04,Low
116534,STEM,Sophomore,3.226,1.27,Debugging/Troubleshooting,Advanced,4,1,11.8,3,Actively_Encouraged,6,97.1,Low
109793,STEM,Junior,3.083,1.2,Ideation,Intermediate,3,1,21.74,1,Actively_Encouraged,2,84.21,Low
146747,Medical,Senior,3.5,0.36,Ideation,Intermediate,3,1,14.7,1,Allowed_With_Citation,4,78.26,Medium
136243,Medical,Sophomore,2.729,5.84,Summarizing_Reading,Advanced,4,1,11.64,2,Strict_Ban,4,61.18,Medium
118917,Humanities,Senior,3.147,2.53,Direct_Answer_Generation,Beginner,2,0,11.87,3,Actively_Encouraged,3,54.5,Medium
128498,Business,Freshman,3.603,2.88,Ideation,Intermediate,4,0,9.07,4,Allowed_With_Citation,3,76.02,Low
104896,STEM,Junior,3.573,5.15,Copywriting/Drafting,Intermediate,3,0,7.38,4,Actively_Encouraged,3,80.25,High
142997,Humanities,Freshman,2.101,2.41,Debugging/Troubleshooting,Advanced,3,0,12.48,3,Allowed_With_Citation,2,72.15,Medium
108844,Medical,Junior,3.459,25.65,Direct_Answer_Generation,Intermediate,1,0,8.79,3,Actively_Encouraged,7,49.51,High
129055,Arts,Sophomore,3.393,5.28,Copywriting/Drafting,Intermediate,3,0,12.95,2,Allowed_With_Citation,6,92.27,Low
100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4,1,10.34,4,Allowed_With_Citation,4,69.1,High
112946,Humanities,Junior,2.518,23.79,Direct_Answer_Generation,Intermediate,2,0,16.25,5,Allowed_With_Citation,1,76.03,High
146490,STEM,Junior,3.266,33.65,Direct_Answer_Generation,Advanced,3,1,1.0,6,Allowed_With_Citation,4,44.53,High
124620,Humanities,Sophomore,3.269,0.16,Direct_Answer_Generation,Intermediate,3,0,11.94,2,Actively_Encouraged,1,60.34,Low
104385,Medical,Senior,3.667,12.51,Direct_Answer_Generation,Advanced,5,0,10.81,2,Allowed_With_Citation,3,95.2,Low
138999,Humanities,Sophomore,2.96,2.55,Summarizing_Reading,Advanced,3,1,15.64,3,Actively_Encouraged,5,92.86,Low
144411,STEM,Senior,3.17,9.63,Copywriting/Drafting,Advanced,4,0,14.96,6,Allowed_With_Citation,3,75.38,Medium
147567,STEM,Junior,3.586,5.38,Debugging/Troubleshooting,Intermediate,1,0,8.58,3,Strict_Ban,4,83.67,Medium
144239,Business,Junior,2.592,15.5,Summarizing_Reading,Advanced,3,0,20.98,3,Actively_Encouraged,5,77.65,Medium
103807,Humanities,Junior,3.258,0.82,Debugging/Troubleshooting,Beginner,1,0,11.13,3,Strict_Ban,1,81.64,Low
101104,Medical,Sophomore,3.411,2.76,Summarizing_Reading,Beginner,2,0,13.94,3,Allowed_With_Citation,3,77.19,Low
135173,STEM,Freshman,3.207,0.96,Debugging/Troubleshooting,Intermediate,3,0,7.83,1,Strict_Ban,2,73.47,Medium
128066,STEM,Sophomore,2.626,23.12,Debugging/Troubleshooting,Intermediate,3,0,6.69,9,Allowed_With_Citation,9,54.58,Medium
133762,STEM,Freshman,3.455,37.24,Debugging/Troubleshooting,Beginner,2,0,15.19,9,Actively_Encouraged,4,70.86,High
138297,Business,Sophomore,3.219,9.52,Debugging/Troubleshooting,Beginner,3,1,13.18,5,Allowed_With_Citation,3,69.2,High
127891,Business,Graduate,2.693,1.7,Summarizing_Reading,Beginner,1,0,6.99,5,Actively_Encouraged,2,67.91,Medium
127240,STEM,Senior,3.299,7.77,Copywriting/Drafting,Advanced,5,0,24.64,3,Allowed_With_Citation,5,100.0,Low
117572,Medical,Junior,3.664,0.21,Summarizing_Reading,Beginner,2,1,12.1,5,Allowed_With_Citation,5,86.19,Low
123110,Humanities,Graduate,3.29,5.49,Copywriting/Drafting,Advanced,5,0,8.64,4,Strict_Ban,3,74.0,High
